Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?
"Dec 25, 2025, 2:12:37 PM",Resuelto,En tránsito,Cancelación,WPFI109883,Agencia 4,G-018,Trek Laguna de los Tres,Bajo,
"Dec 25, 2025, 3:02:19 PM",En proceso,En tránsito,Cancelación,WPFI106959,Agencia 2,P-017,Alojamiento,Bajo,NO
"Dec 26, 2025, 1:20:35 PM",Resuelto,En tránsito,Modificación,WPFI109101,Agencia 17,,Flexipass de 3 días,Bajo,
"Dec 28, 2025, 3:14:20 PM",En proceso,En tránsito,Cancelación,WPFI109101,Agencia 17,,,Medio,
"Dec 28, 2025, 3:48:42 PM",En proceso,En tránsito,Modificación,WPFI109321,Agencia 19,,,Bajo,
"Dec 29, 2025, 1:22:10 PM",Pendiente,En tránsito,Informativo,WPFI108455,Agencia 17,P-001,,Alto,
"Dec 30, 2025, 2:02:41 PM",Resuelto,En tránsito,Cancelación,WPFI110539,,"G-019, P-010",Trek Laguna de los Tres SIB ,Bajo,
"Dec 30, 2025, 2:09:54 PM",En proceso,En tránsito,Informativo,WPFI106714,Agencia 18,P-010,Trek Laguna de los Tres SIB ,Medio,
"Dec 30, 2025, 2:59:09 PM",Resuelto,En tránsito,Informativo,WPFI109683,Agencia 22,"G-006, P-010","Trek Laguna de los Tres PVT, Shared shuttle",Bajo,
"Dec 30, 2025, 4:22:02 PM",En proceso,En tránsito,Queja,WPFI106035,Agencia 2,P-009,Box lunch,Alto,NO
"Jan 2, 2026, 3:15:12 PM",En proceso,En tránsito,Queja,WPFI108605,Agencia 2,P-001,Transfer Bus Station/Hotel - Private,Alto,NO
"Jan 2, 2026, 3:25:07 PM",En proceso,En tránsito,Queja,WPFI110405,Agencia 11,P-009,Box lunch,Alto,
"Jan 2, 2026, 9:02:00 PM",En proceso,En tránsito,Queja,WPFI109056,Agencia 2,P-018,Habitación cuádruple,Bajo,SI/NO
"Jan 3, 2026, 12:10:45 PM",En proceso,En tránsito,Cancelación,WPFI110564,Agencia 11,G-001,Trek Laguna Torre SIB,Medio,
"Jan 4, 2026, 11:34:32 AM",En proceso,En tránsito,Cancelación,WPFI110490,Agencia 11,"G-001, P-010",Trek Laguna de los Tres SIB ,Bajo,
"Jan 4, 2026, 11:56:58 AM",En proceso,En tránsito,Cancelación,WPFI108591,Agencia 2,G-015,Trek Laguna Torre SIB,Medio,SI
"Jan 4, 2026, 12:16:32 PM",En proceso,En tránsito,Cancelación,WPFI108527,Agencia 2,G-015,Trek Laguna Torre SIB,Medio,SI
"Jan 4, 2026, 3:14:45 PM",En proceso,En tránsito,Modificación,WPFI109185,Agencia 2,,,Medio,SI
"Jan 4, 2026, 9:15:01 PM",Resuelto,En tránsito,Informativo,WPFI108605,Agencia 2,,Hotel,Bajo,SI
"Jan 5, 2026, 12:00:54 PM",En proceso,En tránsito,Cancelación,WPFI107473,Agencia 24,P-007,,Medio,
"Jan 5, 2026, 3:17:26 PM",Resuelto,En tránsito,Cancelación,WPFI109552,Agencia 2,,Trek Laguna Torre SIB,Bajo,SI
"Jan 5, 2026, 3:57:50 PM",Pendiente,En tránsito,Modificación,WPFI109692,Agencia 2,,Trek Laguna de los Tres SIB ,Bajo,SI
"Jan 7, 2026, 12:50:35 PM",En proceso,En tránsito,Cancelación,WPFI109692,Agencia 2,G-021,Trek Laguna Torre SIB,Medio,SI
"Jan 7, 2026, 1:05:26 PM",En proceso,En tránsito,Modificación,WPFI110461,Agencia 5,"G-023, G-024",Trek Laguna de los Tres SIB ,Alto,
"Jan 8, 2026, 2:16:19 PM",En proceso,En tránsito,Modificación,WPFI108880,Agencia 2,P-002,Mountain Bike,Medio,NO
"Jan 8, 2026, 3:07:35 PM",Resuelto,En tránsito,Cancelación,WPFI110609,Agencia 11,G-022,Trek Laguna Torre SIB,Medio,
"Jan 8, 2026, 10:03:31 PM",Resuelto,En tránsito,Informativo,WPFI110064,Agencia 11,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,
"Jan 9, 2026, 10:35:26 AM",En proceso,En tránsito,Cancelación,WPFI110584,Cliente Directo,G-004,Trek Loma del Pliegue Tumbado,Bajo,
"Jan 9, 2026, 10:29:13 PM",Resuelto,En tránsito,Cancelación,WPFI109990,Agencia 11,,Trek Laguna de los Tres SIB ,Bajo,
"Jan 10, 2026, 1:16:18 PM",En proceso,En tránsito,Cancelación,WPFI110584,Cliente Directo,"G-004, P-010",Trek Laguna de los Tres SIB ,Medio,
"Jan 10, 2026, 1:43:59 PM",En proceso,En tránsito,Cancelación,WPFI110465,Agencia 11,P-007,Kayak Lago del Desierto con traslado privado,Alto,
"Jan 11, 2026, 3:15:28 PM",En proceso,En tránsito,Modificación,WPFI109952,Agencia 14,,,Alto,
"Jan 11, 2026, 11:04:15 PM",En proceso,En tránsito,Informativo,WPGR107109,Agencia 25,,,Bajo,
"Jan 12, 2026, 4:24:03 PM",Resuelto,En tránsito,Modificación,WPGR108693,Agencia 11,,Treks SIB,Bajo,
"Jan 13, 2026, 11:58:39 AM",En proceso,En tránsito,Cancelación,WPFI107974,Agencia 2,G-007,Trek Laguna Torre SIB,Medio,SI
"Jan 13, 2026, 2:30:49 PM",Pendiente,En tránsito,Cancelación,WPFI106172,Agencia 11,P-001,Transfer Hotel/Bus Station - Private,Alto,
"Jan 13, 2026, 7:49:44 PM",En proceso,En tránsito,Informativo,WPFI107537,Agencia 2,,,Medio,SI/NO
"Jan 14, 2026, 3:39:54 PM",En proceso,En tránsito,Informativo,WPFI110059,Agencia 17,,,Medio,
"Jan 14, 2026, 4:30:01 PM",En proceso,En tránsito,Cancelación,WPFI106748,Agencia 2,,,Bajo,SI
"Jan 16, 2026, 4:36:46 PM",En proceso,En tránsito,Queja,WPFI109516,Agencia 11,G-016,Trek Laguna de los Tres SIB ,Alto,
"Jan 16, 2026, 5:26:49 PM",Resuelto,En tránsito,Modificación,WPFI106109,Agencia 2,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,SI
"Jan 16, 2026, 5:49:39 PM",En proceso,En tránsito,Cancelación,WPFI109648,Agencia 2,"G-021, P-010",Trek Laguna de los Tres SIB ,Bajo,SI
"Jan 16, 2026, 6:06:00 PM",Resuelto,En tránsito,Cancelación,WPFI109817,Agencia 11,"G-021, P-010",Trek Laguna de los Tres SIB ,Bajo,
"Jan 16, 2026, 6:50:52 PM",En proceso,En tránsito,Informativo,WPFI107982,Agencia 2,-,Moreno Glacier - Private transport,Medio,SI/NO
"Jan 18, 2026, 12:17:22 PM",En proceso,En tránsito,Informativo,WPFI110484,Agencia 11,P-001,Trek Laguna de Los Tres - Private guide & private transport,Bajo,
"Jan 18, 2026, 5:51:56 PM",En proceso,En tránsito,Modificación,WPFI108764,Agencia 2,P-019,,Medio,SI/NO
"Jan 18, 2026, 9:25:50 PM",En proceso,En tránsito,Informativo,WPFI110739,,,,Medio,
"Jan 19, 2026, 11:25:32 AM",Resuelto,En tránsito,Cancelación,WPFI110505,Agencia 2,G-025,Trek Laguna Torre SIB,Bajo,SI
"Jan 20, 2026, 10:29:53 AM",En proceso,En tránsito,Cancelación,WPFI110464,Agencia 20,P-001,Transfer Hotel/Bus Station - Private,Medio,
"Jan 20, 2026, 4:24:00 PM",En proceso,En tránsito,Cancelación,WPFI109741,Agencia 2,,,Bajo,SI
"Jan 21, 2026, 12:00:34 PM",En proceso,En tránsito,Cancelación,WPFI107056,Agencia 4,P-001,Transfer El Chaltén/Río Eléctrico bridge - Private,Bajo,
"Jan 21, 2026, 2:03:24 PM",En proceso,En tránsito,Informativo,WPGR108726,Agencia 11,"P-001, G-028",Trek Laguna de Los Tres - Private guide & private transport,Bajo,
"Jan 23, 2026, 12:34:20 PM",En proceso,En tránsito,Cancelación,WPFI110459,Agencia 11,"P-010, G-008",Trek Laguna de los Tres SIB ,Medio,
"Jan 23, 2026, 1:28:33 PM",En proceso,En tránsito,Cancelación,WPFI109787,Agencia 2,P-004,Moreno Glacier - Private transport/SIB boat ride + walkways,Alto,SI
"Jan 23, 2026, 5:17:20 PM",En proceso,En tránsito,Modificación,WPFI110504,Agencia 20,,Trek Laguna de los Tres SIB ,Bajo,
"Jan 23, 2026, 10:09:15 PM",Resuelto,En tránsito,Cancelación,WPFI109364,Agencia 11,,Bastones telescópicos,Bajo,
"Jan 23, 2026, 10:32:25 PM",En proceso,En tránsito,Cancelación,WPFI110476,Agencia 11,P-001,Transfer El Chaltén/Río Eléctrico bridge - Private,Bajo,
"Jan 25, 2026, 10:38:40 AM",En proceso,En tránsito,Cancelación,WPFI107488,Agencia 2,G-005,Trek Laguna Torre SIB,Medio,SI
"Jan 25, 2026, 11:07:20 AM",En proceso,En tránsito,Cancelación,WPFI109787,Agencia 2,"P-010, G-023",Trek Laguna de los Tres SIB ,Medio,SI
"Jan 25, 2026, 3:32:26 PM",En proceso,En tránsito,Informativo,WPFI109488,Agencia 11,,,Alto,
"Jan 25, 2026, 3:53:29 PM",En proceso,En tránsito,Modificación,WPFI109077,Agencia 2,,,Bajo,SI
"Jan 25, 2026, 8:00:03 PM",Resuelto,En tránsito,Cancelación,WPFI107583,Agencia 17,P-001,Transfer Lago del Desierto (Punta Sur) /El Chaltén - Private,Bajo,
"Jan 26, 2026, 5:13:30 PM",Resuelto,En tránsito,Informativo,WPFI106154,Agencia 2,P-022,Shuttle|El Chaltén / El Calafate Airport,Alto,NO
"Jan 27, 2026, 11:14:06 AM",En proceso,En tránsito,Cancelación,WPFI109468,Agencia 11,"P-010, G-021, G-008",Trek Laguna de los Tres SIB ,Alto,
"Jan 27, 2026, 10:09:11 PM",En proceso,En tránsito,Cancelación,WPFI109585,Agencia 2,,,Medio,NO
"Jan 28, 2026, 10:12:32 PM",En proceso,En tránsito,Modificación,WPFI110339,Agencia 2,,,Medio,SI
"Jan 29, 2026, 12:04:27 PM",En proceso,En tránsito,Cancelación,WPFI109862,Agencia 2,G-001,Trek Laguna Torre SIB,Alto,SI
"Jan 29, 2026, 12:25:28 PM",En proceso,En tránsito,Queja,WPFI109862,Agencia 2,G-026,Trek Laguna de los Tres SIB ,Alto,SI
"Jan 29, 2026, 11:33:12 PM",Resuelto,En tránsito,Cancelación,WPFI110314,Agencia 2,G-021,Trek Laguna Torre - Privado,Medio,SI
"Jan 30, 2026, 7:57:49 PM",En proceso,En tránsito,Queja,WPFI104953,Agencia 2,P-017,Habitación Superior,Medio,NO
"Jan 30, 2026, 10:35:45 PM",Resuelto,En tránsito,Modificación,WPFI109585,Agencia 2,G-018,Trek Laguna Torre SIB,Bajo,SI
"Jan 30, 2026, 11:11:34 PM",En proceso,En tránsito,Modificación,WPFI107206,Agencia 2,"P-020, G-023, P-001, P-021",Rafting y Reserva Privada,Medio,SI
"Feb 1, 2026, 3:39:54 PM",En proceso,En tránsito,Cancelación,WPFI108265,Agencia 11,,Welcome Briefing,Medio,
"Feb 1, 2026, 3:47:06 PM",En proceso,En tránsito,Modificación,WPFI107696,Agencia 2,,,Medio,SI
"Feb 1, 2026, 8:22:52 PM",Resuelto,En tránsito,Cancelación,WPFI109442,Agencia 11,G-006,Trek Laguna Torre - Private guide,Bajo,
"Feb 3, 2026, 12:42:26 PM",En proceso,En tránsito,Cancelación,WPFI108158,Agencia 2,G-002,Trek Laguna Torre,Bajo,SI
"Feb 5, 2026, 1:43:03 PM",En proceso,En tránsito,Cancelación,WPFI110086,Agencia 2,P-011,Transfer hotel FTE / Aeropuerto,Medio,SI
"Feb 6, 2026, 1:59:32 PM",En proceso,En tránsito,Cancelación,WPFI108158,Agencia 2,P-022,Shuttle|El Chaltén / El Calafate Airport,Medio,SI
"Feb 8, 2026, 7:46:58 PM",Resuelto,En tránsito,Informativo,WPFI108078,Agencia 2,,,Bajo,SI
"Feb 9, 2026, 1:57:38 PM",Resuelto,En tránsito,Modificación,WPFI107070,Agencia 21,P-001,Trek Laguna de Los Tres - Private guide & private transport,Medio,
"Feb 9, 2026, 3:13:18 PM",En proceso,En tránsito,Cancelación,WPFI110403,Agencia 11,,,Bajo,
"Feb 9, 2026, 4:39:59 PM",En proceso,En tránsito,Informativo,WPGR110808,Agencia 3,P-009,,Bajo,
"Feb 9, 2026, 4:52:24 PM",En proceso,En tránsito,Cancelación,WPFI110616,Agencia 18,,,Medio,
"Feb 10, 2026, 12:48:32 PM",Resuelto,En tránsito,Cancelación,WPFI107484,Agencia 2,"P-011, G-027, P-025",Moreno Glacier & 1h boat ride - Private guide & transport,Medio,SI
"Feb 11, 2026, 11:47:33 AM",En proceso,En tránsito,Cancelación,WPFI110930,Agencia 26,"P-010, G-031",Trek Laguna de los Tres SIB ,Alto,
,Resuelto,En tránsito,Modificación,WPFI107367,Agencia 2,P-025,Ice trek Moreno Glacier,Medio,SI
"Feb 13, 2026, 9:54:51 PM",Pendiente,En tránsito,Informativo,WPFI106549,Agencia 2,,,Medio,SI
"Feb 14, 2026, 11:12:06 AM",En proceso,En tránsito,Modificación,WPFI110466,Agencia 11,G-029,Trek Loma del Pliegue Tumbado,Bajo,
"Feb 14, 2026, 3:33:01 PM",Resuelto,En tránsito,Informativo,WPFI110893,Agencia 5,,,Bajo,
"Feb 15, 2026, 12:09:45 PM",En proceso,En tránsito,Cancelación,WPFI109900,Agencia 2,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,SI
"Feb 15, 2026, 3:23:14 PM",En proceso,En tránsito,Informativo,WPFI109329,Agencia 4,,,Bajo,
"Feb 15, 2026, 6:22:55 PM",En proceso,En tránsito,Queja,WPFI109198,Agencia 2,,,Medio,SI
"Feb 15, 2026, 8:16:48 PM",Resuelto,En tránsito,Cancelación,WPFI109329,Agencia 4,P-001,Transfer El Chaltén/Río Eléctrico bridge - Private,Bajo,
"Feb 16, 2026, 2:17:45 PM",Resuelto,En tránsito,Cancelación,WPFI110828,Agencia 11,"Guia, P-010",Trek Laguna de los Tres SIB ,Bajo,
