Marca de tiempo,Status,Status viaje,Tipo incidente,Ref. Tourplan,Agencia,Proveedor,Servicio,Impacto,PAX PIDIÓ CAMBIO/CXL?
"Mar 12, 2026, 12:24:26 PM",En proceso,En tránsito,Cancelación,WPFI111001,Agencia 21,"P-010, G-008",Trek Laguna de los Tres SIB ,Medio,
"Mar 12, 2026, 10:37:33 PM",Resuelto,En tránsito,Cancelación,WPFI109063,Agencia 11,,,Bajo,
"Mar 13, 2026, 11:46:20 PM",Resuelto,En tránsito,Modificación,WPFI110269,Agencia 4,G-025,Guiada,Bajo,
"Mar 15, 2026, 11:56:18 AM",Resuelto,En tránsito,Cancelación,WPFI108864,Agencia 2,P-021,Visit to the refuge - sweet crepe,Medio,SI
"Mar 15, 2026, 12:29:13 PM",En proceso,En tránsito,Modificación,WPFI107241,Agencia 4,"G-033, P-001",Trek Laguna de los Tres / Trek Laguna Torre,Bajo,
"Mar 15, 2026, 1:22:17 PM",En proceso,En tránsito,Cancelación,WPFI110269,Agencia 4,"G-034, P-001",Trek Laguna de Los Tres - Private guide & private transport,Alto,
"Mar 16, 2026, 2:47:33 PM",En proceso,En tránsito,Modificación,WPFI107967,Agencia 2,,,Bajo,SI/NO
"Mar 16, 2026, 3:10:12 PM",Resuelto,En tránsito,Informativo,WPFI108160,Agencia 2,P-011,,Bajo,SI
"Mar 16, 2026, 3:39:17 PM",Resuelto,En tránsito,Informativo,WPFI111219,,,,Bajo,
"Mar 16, 2026, 4:07:41 PM",En proceso,En tránsito,Queja,WPFI111136,Agencia 19,,,Alto,
"Mar 16, 2026, 7:16:26 PM",En proceso,En tránsito,Informativo,WPFI111066,Agencia 12,,,Bajo,
"Mar 17, 2026, 3:26:36 PM",En proceso,En tránsito,Cancelación,WPFI111233,Agencia 2,,,Bajo,SI
"Mar 17, 2026, 8:47:42 PM",En proceso,En tránsito,Modificación,WPFI107967,Agencia 2,P-002,Cabalgata con almuerzo,Bajo,NO
"Mar 18, 2026, 3:53:09 PM",En proceso,En tránsito,Modificación,WPFI110788,Agencia 11,P-002,Mountain Bike,Bajo,
,En proceso,En tránsito,Informativo,WPFI108475,Agencia 2,,,Bajo,SI
"Mar 19, 2026, 11:24:10 AM",En proceso,En tránsito,Cancelación,WPFI111064,Agencia 18,P-010,Transfer El Chaltén/Río Eléctrico bridge - Shared,Bajo,
"Mar 19, 2026, 3:18:14 PM",Resuelto,En tránsito,Informativo,WPFI110977,Agencia 11,,,Bajo,
"Mar 19, 2026, 10:16:52 PM",En proceso,En tránsito,Modificación,WPFI111353,Agencia 2,P-028,,Bajo,SI
"Mar 20, 2026, 11:01:46 PM",En proceso,En tránsito,Modificación,WPFI107673,Agencia 2,,,Bajo,SI
"Mar 22, 2026, 8:59:53 PM",Resuelto,En tránsito,Modificación,WPFI111578,Cliente Directo,"P-010, Guia",Trek Laguna de los Tres SIB ,Bajo,
"Mar 23, 2026, 11:41:53 AM",Resuelto,En tránsito,Cancelación,WPFI111555,Agencia 11,"Guia, P-010",Trek Laguna de los Tres SIB ,Bajo,
"Mar 23, 2026, 11:59:45 AM",Resuelto,En tránsito,Cancelación,WPFI110962,Agencia 11,Guia y Traslado,Trek Laguna de los Tres SIB ,Bajo,
"Mar 23, 2026, 12:29:23 PM",Pendiente,En tránsito,Cancelación,WPFI110850,Cliente Directo,P-002,Cabalgata,Medio,
"Mar 23, 2026, 2:42:43 PM",Resuelto,En tránsito,Cancelación,WPFI108120,Agencia 11,Guia y Traslado,Trek Laguna de los Tres SIB ,Bajo,
"Mar 24, 2026, 1:34:10 PM",En proceso,En tránsito,Cancelación,WPFI111567,Agencia 5,G-035,Trek Laguna Torre,Medio,
"Mar 24, 2026, 1:42:16 PM",En proceso,En tránsito,Cancelación,WPFI111098,Agencia 19,"P-010, G-008",Trek Laguna de los Tres SIB ,Medio,
"Mar 24, 2026, 6:21:15 PM",En proceso,En tránsito,Modificación,WPFI109942,Agencia 2,Hotel- Viandas- Traslado,Box lunch / Transfer El Chaltén / El Calafate airport,Bajo,SI
"Mar 24, 2026, 11:10:05 PM",Resuelto,En tránsito,Modificación,WPGR111546,Agencia 7,P-001,Trek Laguna de Los Tres - Private guide & private transport,Bajo,
"Mar 24, 2026, 11:15:47 PM",Resuelto,En tránsito,Modificación,WPFI107322,Agencia 2,P-002,Cabalgata con almuerzo,Bajo,NO
"Mar 25, 2026, 12:51:55 PM",En proceso,En tránsito,Cancelación,WPFI111578,Cliente Directo,"P-010, G-006",Trek Laguna de los Tres SIB ,Medio,
"Mar 25, 2026, 1:00:00 PM",En proceso,En tránsito,Cancelación,WPFI104377,Agencia 2,P-010,Trek Laguna de los Tres SIB ,Medio,SI
"Mar 26, 2026, 4:52:17 PM",Pendiente,En tránsito,Cancelación,WPFI110057,Agencia 2,P-027,Safari,Medio,NO
"Mar 28, 2026, 12:28:55 PM",En proceso,En tránsito,Cancelación,WPFI102839,Agencia 2,"P-007, P-001, G-008",Kayak Lago del Desierto con traslado privado,Alto,SI
"Mar 28, 2026, 12:52:44 PM",En proceso,En tránsito,Informativo,,Agencia 15,,Traslado Destino Sur - Terminal de bus CHT,Alto,
"Mar 29, 2026, 2:25:21 PM",En proceso,En tránsito,Cancelación,WPFI111383,Agencia 19,G-008,Trek Laguna Torre SIB,Medio,
"Mar 29, 2026, 3:29:45 PM",En proceso,En tránsito,Modificación,WPFI108190,Agencia 32,,,Medio,
"Mar 29, 2026, 3:47:18 PM",En proceso,En tránsito,Queja,WPWI111706,Cliente Directo,,Trek Laguna de los Tres SIB ,Alto,
"Mar 30, 2026, 2:41:26 PM",Pendiente,En tránsito,Modificación,WPFI110886,Agencia 2,Guia y Traslado,Laguna de los tres y Laguna Torre,Medio,SI
"Mar 30, 2026, 3:27:04 PM",Resuelto,En tránsito,Cancelación,WPFI111481,Agencia 2,G-002,Trek Laguna Torre,Bajo,SI
"Mar 30, 2026, 3:40:48 PM",En proceso,En tránsito,Cancelación,WPFI110057,Agencia 2,P-025,Ice trek Moreno Glacier ,Bajo,SI
"Mar 31, 2026, 1:21:27 PM",En proceso,En tránsito,Cancelación,WPFI111564,Agencia 11,"G-024, P-010",Trek Laguna de los Tres SIB ,Medio,
"Mar 31, 2026, 1:41:16 PM",En proceso,En tránsito,Modificación,WPFI111432,Agencia 11,P-007,Kayak Lago del Desierto con traslado privado,Medio,
"Mar 31, 2026, 4:35:22 PM",En proceso,En tránsito,Cancelación,WPFI109691,Agencia 4,,,Medio,
"Mar 31, 2026, 4:54:01 PM",En proceso,En tránsito,Cancelación,WPFI106742,Agencia 2,,,Medio,SI
